Name,Pos,Bio.Class,Hit,Game,Raw,Spd,Fld,Arm,B,T,H,W,Class,Pos.Class
Aaron Hicks,CF,Position,40,50,50,60,30,NA,S,R,50,50,Position,OF
Aaron Judge,CF,Position,70,80,80,60,40,NA,R,R,80,80,Position,OF
Adam Duvall,CF,Position,40,70,50,60,40,NA,R,R,50,60,Position,OF
Adam Frazier,2B,Position,60,40,40,60,60,NA,L,R,40,40,Position,MI
Adley Rutschman,C,Position,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,Catcher,C
AJ Pollock,LF,Position,60,60,50,60,40,NA,R,R,50,60,Position,OF
Albert Pujols,DH,Position,50,60,70,30,NA,NA,R,R,60,70,Position,DH
Aledmys Diaz,LF,Position,60,50,40,60,70,NA,R,R,50,50,Position,OF
Alejandro Kirk,C,Position,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,Catcher,C
Alex Bregman,3B,Position,60,60,60,50,50,NA,R,R,50,50,Position,CI
Alex Verdugo,LF,Position,70,50,60,60,50,NA,L,L,50,50,Position,OF
Amed Rosario,SS,Position,70,40,50,70,40,NA,R,R,60,50,Position,MI
Andrew Benintendi,LF,Position,70,50,60,60,40,NA,L,L,30,40,Position,OF
Andrew Knapp,C,Position,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,Catcher,C
Andrew Knizner,C,Position,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,Catcher,C
Andrew McCutchen,DH,Position,50,60,60,70,NA,NA,R,R,40,50,Position,DH
Anthony Bemboom,C,Position,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,Catcher,C
Anthony Rendon,3B,Position,60,60,60,50,40,NA,R,R,50,50,Position,CI
Anthony Rizzo,1B,Position,50,60,60,40,60,NA,L,L,60,70,Position,CI
Anthony Santander,RF,Position,50,60,60,50,40,NA,S,R,60,70,Position,OF
Aramis Garcia,C,Position,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,Catcher,C
Aristides Aquino,RF,Position,40,60,40,70,60,NA,R,R,70,60,Position,OF
Austin Barnes,C,Position,40,50,50,50,NA,40,R,R,40,50,Catcher,C
Austin Hedges,C,Position,30,50,30,40,NA,60,R,R,50,60,Catcher,C
Austin Nola,C,Position,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,Catcher,C
Austin Riley,3B,Position,60,70,70,60,30,NA,R,R,60,70,Position,CI
Austin Romine,C,Position,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,Catcher,C
Austin Wynns,C,Position,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,Catcher,C
Avisail Garcia,RF,Position,50,50,50,70,50,NA,R,R,70,70,Position,OF
Ben Gamel,LF,Position,50,40,50,60,40,NA,L,L,40,40,Position,OF
Bo Bichette,SS,Position,70,60,70,60,40,NA,R,R,50,50,Position,MI
Brandon Belt,1B,Position,50,60,50,40,60,NA,L,L,60,70,Position,CI
Brandon Crawford,SS,Position,50,50,50,50,60,NA,L,R,50,60,Position,MI
Brandon Lowe,2B,Position,50,70,60,60,40,NA,L,R,40,40,Position,MI
Brandon Nimmo,CF,Position,60,50,60,70,40,NA,L,R,60,50,Position,OF
Brian Anderson,3B,Position,50,50,50,50,40,NA,R,R,60,50,Position,CI
Brian Serven,C,Position,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,Catcher,C
Bryan Reynolds,CF,Position,60,60,60,60,40,NA,S,R,60,50,Position,OF
Bryce Harper,DH,Position,60,70,70,60,NA,NA,L,R,60,60,Position,DH
Byron Buxton,CF,Position,60,70,70,80,60,NA,R,R,60,50,Position,OF
C.J. Cron,1B,Position,60,60,50,40,60,NA,R,R,70,70,Position,CI
Cal Raleigh,C,Position,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,Catcher,C
Cam Gallagher,C,Position,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,Catcher,C
Carlos Correa,SS,Position,60,60,60,60,60,NA,R,R,70,60,Position,MI
Carlos Santana,1B,Position,40,60,60,40,60,NA,S,R,40,60,Position,CI
Carson Kelly,C,Position,50,50,50,40,NA,50,R,R,60,60,Catcher,C
Cavan Biggio,2B,Position,40,50,50,60,50,NA,L,R,60,50,Position,MI
Cesar Hernandez,2B,Position,60,40,40,70,50,NA,S,R,40,40,Position,MI
Chad Pinder,LF,Position,50,50,50,50,30,NA,R,R,60,60,Position,OF
Charlie Blackmon,DH,Position,70,50,40,60,NA,NA,L,L,60,60,Position,DH
Chris Taylor,LF,Position,50,50,50,70,50,NA,R,R,50,50,Position,OF
Christian Bethancourt,C,Position,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,Catcher,C
Christian Vazquez,C,Position,60,50,50,40,NA,50,R,R,30,50,Catcher,C
Christian Walker,1B,Position,50,60,60,60,80,NA,R,R,50,50,Position,CI
Christian Yelich,LF,Position,60,60,70,60,50,NA,L,R,60,50,Position,OF
Chuckie Robinson,C,Position,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,Catcher,C
Cody Bellinger,CF,Position,40,60,60,70,50,NA,L,L,70,50,Position,OF
Connor Wong,C,Position,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,Catcher,C
Corey Dickerson,LF,Position,60,50,50,60,50,NA,L,R,50,50,Position,OF
Corey Seager,SS,Position,70,60,60,50,50,NA,L,R,70,60,Position,MI
Curt Casali,C,Position,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,Catcher,C
Daniel Vogelbach,DH,Position,40,60,60,30,NA,NA,L,R,50,80,Position,DH
Danny Jansen,C,Position,40,60,60,60,NA,60,R,R,60,60,Catcher,C
Dansby Swanson,SS,Position,60,60,60,70,60,NA,R,R,50,50,Position,MI
Daulton Varsho,C,Position,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,Catcher,C
David Fletcher,2B,Position,60,40,30,60,70,NA,R,R,30,40,Position,MI
David Peralta,LF,Position,60,50,60,60,60,NA,L,L,50,60,Position,OF
Didi Gregorius,SS,Position,50,50,40,60,30,NA,L,R,60,50,Position,MI
DJ LeMahieu,3B,Position,70,50,60,50,50,NA,R,R,70,60,Position,CI
Donovan Solano,DH,Position,70,40,50,50,NA,NA,R,R,30,60,Position,DH
Dylan Moore,RF,Position,30,40,50,60,60,NA,R,R,50,50,Position,OF
Eddie Rosario,LF,Position,50,60,50,60,30,NA,L,R,50,40,Position,OF
Eduardo Escobar,3B,Position,50,60,50,60,40,NA,S,R,40,50,Position,CI
Elias Diaz,C,Position,50,50,50,50,NA,60,R,R,50,60,Catcher,C
Eloy Jimenez,LF,Position,60,70,70,60,40,NA,R,R,70,70,Position,OF
Elvis Andrus,SS,Position,50,40,50,50,60,NA,R,R,50,60,Position,MI
Enrique Hernandez,CF,Position,50,50,50,60,40,NA,R,R,40,50,Position,OF
Eric Haase,C,Position,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,Catcher,C
Eric Hosmer,1B,Position,60,50,50,50,50,NA,L,L,70,60,Position,CI
Eugenio Suarez,3B,Position,40,70,60,50,40,NA,R,R,40,60,Position,CI
Evan Longoria,3B,Position,50,60,60,50,50,NA,R,R,50,60,Position,CI
Francisco Lindor,SS,Position,60,60,60,60,70,NA,S,R,40,50,Position,MI
Francisco Mejia,C,Position,50,40,50,50,NA,70,S,R,30,50,Catcher,C
Franmil Reyes,DH,Position,50,60,70,50,NA,NA,R,R,70,80,Position,DH
Freddie Freeman,1B,Position,80,60,70,50,60,NA,L,R,70,60,Position,CI
Gabriel Moreno,C,Position,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,Catcher,C
Garrett Cooper,1B,Position,60,50,60,50,60,NA,R,R,70,70,Position,CI
Garrett Hampson,SS,Position,40,40,40,70,60,NA,R,R,40,50,Position,MI
Garrett Stubbs,C,Position,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,Catcher,C
Gary Sanchez,C,Position,40,70,60,40,NA,70,R,R,60,70,Catcher,C
George Springer,CF,Position,60,80,50,60,40,NA,R,R,60,60,Position,OF
Gio Urshela,3B,Position,70,50,60,50,30,NA,R,R,50,60,Position,CI
Gleyber Torres,2B,Position,60,60,60,50,40,NA,R,R,50,50,Position,MI
Hanser Alberto,2B,Position,70,40,30,50,50,NA,R,R,40,60,Position,MI
Harold Castro,1B,Position,60,40,50,50,30,NA,L,R,40,50,Position,CI
Harold Ramirez,DH,Position,60,40,50,70,NA,NA,R,R,40,70,Position,DH
Harrison Bader,CF,Position,50,50,30,70,60,NA,R,R,50,60,Position,OF
Hunter Dozier,1B,Position,50,50,50,60,40,NA,R,R,70,60,Position,CI
Hunter Renfroe,RF,Position,50,70,60,60,50,NA,R,R,50,70,Position,OF
Ian Happ,LF,Position,50,60,60,60,50,NA,S,R,50,50,Position,OF
Isiah Kiner-Falefa,SS,Position,60,40,40,60,50,NA,R,R,40,50,Position,MI
J.D. Davis,3B,Position,60,50,70,50,30,NA,R,R,60,60,Position,CI
J.D. Martinez,DH,Position,60,60,60,50,NA,NA,R,R,60,70,Position,DH
J.P. Crawford,SS,Position,50,40,40,60,50,NA,L,R,60,50,Position,MI
J.T. Realmuto,C,Position,60,60,60,70,NA,70,R,R,50,60,Catcher,C
Jackie Bradley Jr.,CF,Position,40,50,50,60,50,NA,L,R,40,50,Position,OF
Jacob Stallings,C,Position,50,40,50,30,NA,60,R,R,70,60,Catcher,C
James McCann,C,Position,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,Catcher,C
Jason Castro,C,Position,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,Catcher,C
Jason Delay,C,Position,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,Catcher,C
Javier Baez,SS,Position,50,60,50,60,70,NA,R,R,50,50,Position,MI
Jean Segura,2B,Position,60,50,50,60,60,NA,R,R,40,60,Position,MI
Jeff McNeil,2B,Position,70,50,50,60,60,NA,L,R,50,50,Position,MI
Jeimer Candelario,3B,Position,50,50,50,60,40,NA,S,R,50,60,Position,CI
Jesse Winker,LF,Position,60,60,50,50,30,NA,L,L,60,60,Position,OF
Jesus Aguilar,DH,Position,50,50,50,30,NA,NA,R,R,60,80,Position,DH
Ji-Man Choi,1B,Position,50,50,70,40,50,NA,L,R,50,80,Position,CI
Joc Pederson,LF,Position,50,60,70,50,30,NA,L,L,50,60,Position,OF
Joey Bart,C,Position,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,Catcher,C
Joey Gallo,LF,Position,30,70,60,60,60,NA,L,R,70,70,Position,OF
Joey Votto,1B,Position,50,60,60,40,50,NA,L,R,60,60,Position,CI
Joey Wendle,3B,Position,50,40,50,60,60,NA,L,R,50,50,Position,CI
Jon Berti,3B,Position,50,40,50,70,40,NA,R,R,40,50,Position,CI
Jonah Heim,C,Position,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,Catcher,C
Jonathan Schoop,2B,Position,50,50,50,60,70,NA,R,R,50,70,Position,MI
Jonathan Villar,2B,Position,50,50,60,60,30,NA,S,R,50,70,Position,MI
Jorge Alfaro,C,Position,50,50,60,70,NA,70,R,R,60,70,Catcher,C
Jorge Polanco,2B,Position,60,60,60,60,40,NA,S,R,40,50,Position,MI
Jorge Soler,LF,Position,40,70,70,50,40,NA,R,R,70,70,Position,OF
Jose Abreu,1B,Position,70,60,70,50,60,NA,R,R,60,70,Position,CI
Jose Altuve,2B,Position,60,60,40,60,60,NA,R,R,30,40,Position,MI
Jose Herrera,C,Position,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,Catcher,C
Jose Iglesias,SS,Position,70,40,30,60,60,NA,R,R,40,50,Position,MI
Jose Ramirez,3B,Position,60,70,50,60,50,NA,S,R,30,50,Position,CI
Jose Trevino,C,Position,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,Catcher,C
Josh Bell,1B,Position,60,60,60,50,60,NA,S,R,70,80,Position,CI
Josh Donaldson,3B,Position,50,60,60,40,50,NA,R,R,50,60,Position,CI
Josh Naylor,1B,Position,50,50,60,50,60,NA,L,L,40,70,Position,CI
Juan Soto,RF,Position,60,60,60,50,50,NA,L,L,60,60,Position,OF
Jurickson Profar,LF,Position,50,50,50,50,40,NA,S,R,50,40,Position,OF
Justin Turner,3B,Position,70,60,60,40,50,NA,R,R,40,50,Position,CI
Keibert Ruiz,C,Position,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,Catcher,C
Keston Hiura,1B,Position,50,70,70,60,40,NA,R,R,50,50,Position,CI
Ketel Marte,2B,Position,70,60,60,60,50,NA,S,R,50,60,Position,MI
Kevin Kiermaier,CF,Position,50,40,50,70,60,NA,L,R,50,60,Position,OF
Kevin Newman,2B,Position,60,40,40,60,50,NA,R,R,50,50,Position,MI
Kevin Pillar,LF,Position,NA,NA,NA,NA,50,NA,R,R,50,50,Position,OF
Kevin Plawecki,C,Position,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,Catcher,C
Kole Calhoun,RF,Position,40,60,60,40,50,NA,L,L,40,50,Position,OF
Kolten Wong,2B,Position,60,40,50,50,50,NA,L,R,30,40,Position,MI
Kurt Suzuki,C,Position,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,Catcher,C
