Top 100,Name,Pos,Org,Org Rk,Age
1,Francisco Alvarez,C,NYM,1,20.7138888
2,Gabriel Moreno,C,TOR,1,22.4777777
3,Corbin Carroll,CF,ARI,1,21.9583333
4,Eury Perez,SP,MIA,1,19.3083333
5,Gunnar Henderson,3B,BAL,1,21.1027777
6,Jordan Walker,3B,STL,1,20.2055555
7,Daniel Espino,SP,CLE,1,21.5861111
8,Grayson Rodriguez,SP,BAL,2,22.7222222
9,Shane Baz,SP,TBR,1,23.1361111
10,Noelvi Marte,SS,CIN,1,20.8055555
11,CJ Abrams,2B,WSN,1,21.8416666
12,Josh Jung,3B,TEX,1,24.4833333
13,Druw Jones,CF,ARI,2,18.6888888
14,Triston Casas,1B,BOS,1,22.5583333
15,Marco Luciano,SS,SFG,1,20.825
16,Jackson Holliday,SS,BAL,3,18.6722222
17,Marcelo Mayer,SS,BOS,2,19.65
18,Mick Abel,SP,PHI,1,20.9666666
19,Henry Davis,C,PIT,1,22.875
20,Cade Cavalli,SP,WSN,2,23.9777777
21,Jack Leiter,SP,TEX,2,22.2916666
22,DL Hall,SP,BAL,4,23.8805555
23,Brooks Lee,SS,MIN,1,21.4777777
24,Termarr Johnson,2B,PIT,2,18.1527777
25,Anthony Volpe,2B,NYY,1,21.2722222
26,Brett Baty,3B,NYM,2,22.7305555
27,Luis Campusano,C,SDP,1,23.8527777
28,Brennen Davis,RF,CHC,1,22.7611111
29,Pete Crow-Armstrong,CF,CHC,2,20.3638888
30,Kyle Harrison,SP,SFG,2,20.9833333
31,Diego Cartaya,C,LAD,1,20.9138888
32,Luis Matos,CF,SFG,3,20.5222222
33,Oswald Peraza,SS,NYY,2,22.1416666
34,Colton Cowser,CF,BAL,5,22.3777777
35,Ken Waldichuk,SP,OAK,1,24.5777777
36,Ezequiel Tovar,SS,COL,1,21.0138888
37,Brayan Rocchio,SS,CLE,2,21.5638888
38,Brayan Bello,SP,BOS,3,23.2194444
39,Nick Pratto,1B,KCR,1,23.8333333
40,Curtis Mead,LF,TBR,2,21.7777777
41,Robert Hassell III,RF,WSN,3,20.975
42,Nick Lodolo,SP,CIN,2,24.5027777
43,Cole Winn,SP,TEX,3,22.6972222
44,Bobby Miller,SP,LAD,2,23.3361111
45,Jordan Lawlar,SS,ARI,3,20.0527777
46,Elly De La Cruz,SS,CIN,3,20.5694444
47,Jackson Chourio,CF,MIL,1,18.4027777
48,Ivan Herrera,C,STL,2,22.1805555
49,Bo Naylor,C,CLE,3,22.4583333
50,Logan O'Hoppe,C,LAA,1,22.4916666
51,Drew Romo,C,COL,2,20.9361111
52,Tyler Soderstrom,1B,OAK,2,20.7
53,Shea Langeliers,C,OAK,3,24.7166666
54,Matt Brash,SP,SEA,1,24.2333333
55,Jackson Jobe,SP,DET,1,20.0166666
56,Nick Yorke,2B,BOS,4,20.3444444
57,Zach Neto,2B,LAA,2,21.5166666
58,Luis Medina,MIRP,OAK,4,23.2583333
59,Royce Lewis,SS,MIN,2,23.1694444
60,Ronny Mauricio,SS,NYM,3,21.3388888
61,Matthew Liberatore,SP,STL,3,22.75
62,Ezequiel Duran,3B,TEX,4,23.2055555
63,Coby Mayo,RF,BAL,6,20.6555555
64,Zac Veen,RF,COL,3,20.65
65,Alex Ramirez,CF,NYM,4,19.5638888
66,James Wood,CF,WSN,4,19.8861111
67,Jasson Dominguez,CF,NYY,3,19.4972222
68,Greg Jones,CF,TBR,3,24.4138888
69,Joey Wiemer,RF,MIL,2,23.4861111
70,Michael Busch,2B,LAD,3,24.7416666
71,Drey Jameson,SP,ARI,4,24.9694444
72,Cole Henry,SP,WSN,5,23.0583333
73,Owen White,SP,TEX,5,22.9916666
74,Andy Pages,CF,LAD,4,21.6611111
75,Kevin Alcantara,CF,CHC,3,20.0666666
76,Josh Winder,SP,MIN,3,25.8194444
78,Josh H. Smith,SS,TEX,6,24.9972222
79,Vinnie Pasquantino,1B,KCR,2,24.8222222
80,Cristian Hernandez,SS,CHC,4,18.6472222
80,Colson Montgomery,3B,CHW,1,20.4416666
81,Jose Salas,SS,MIA,2,19.2777777
82,Kevin Parada,LF,NYM,5,21.0083333
83,Liover Peguero,SS,PIT,3,21.6
84,Dylan Lesko,SP,SDP,2,18.9138888
85,Brandon Pfaadt,SP,ARI,5,23.8083333
86,Hunter Brown,SIRP,HOU,1,23.9361111
87,Orelvis Martinez,3B,TOR,2,20.7138888
88,Brady House,3B,WSN,6,19.1722222
89,Nolan Jones,RF,CLE,4,24.2472222
90,Masyn Winn,SS,STL,4,20.375
91,Austin Martin,CF,MIN,4,23.3694444
92,Logan Allen,SP,CLE,5,23.9194444
93,Quinn Priester,SP,PIT,4,21.8916666
94,George Valera,RF,CLE,6,21.7305555
95,Gordon Graceffo,SP,STL,5,22.3861111
96,Brandon Williamson,SP,CIN,4,24.3444444
97,Owen Caissie,LF,CHC,5,20.0777777
98,Nick Gonzales,2B,PIT,5,23.1916666
99,James Triantos,2B,CHC,6,19.5194444
100,Edward Cabrera,SP,MIA,3,24.3138888
101,Jacob Berry,DH,MIA,4,21.2527777
102,Dillon Dingler,C,DET,2,23.8861111
