Name,FB,SL,CB,CH,T,Class,H,W
A.J. Minter,60,0,0,60,L,Pitcher,50,60
A.J. Puk,70,50,0,0,L,Pitcher,80,70
Aaron Ashby,60,60,70,60,L,Pitcher,60,40
Aaron Civale,60,0,70,0,R,Pitcher,60,60
Aaron Loup,60,0,0,60,L,Pitcher,40,60
Aaron Nola,60,0,60,60,R,Pitcher,60,50
Aaron Sanchez,60,0,60,60,R,Pitcher,70,60
Adam Cimber,60,50,0,0,R,Pitcher,60,50
Adam Oller,60,60,40,60,R,Pitcher,70,60
Adam Ottavino,70,60,0,60,R,Pitcher,70,70
Adam Wainwright,60,0,60,60,R,Pitcher,80,70
Adrian Houser,60,60,60,60,R,Pitcher,60,60
Adrian Martinez,60,40,0,70,R,Pitcher,60,60
Adrian Morejon,60,60,60,0,L,Pitcher,40,60
Adrian Sampson,60,60,0,60,R,Pitcher,60,60
Albert Abreu,60,50,0,60,R,Pitcher,60,50
Alek Manoah,60,60,0,60,R,Pitcher,70,80
Alex Cobb,60,0,60,0,R,Pitcher,60,50
Alex Colome,60,0,0,0,R,Pitcher,50,60
Alex Faedo,60,50,0,60,R,Pitcher,70,60
Alex Lange,60,0,40,60,R,Pitcher,60,50
Alex Vesia,60,50,0,0,L,Pitcher,50,60
Alex Wood,50,50,0,60,L,Pitcher,70,60
Alexis Diaz,60,60,0,0,R,Pitcher,60,60
Amir Garrett,60,40,0,0,L,Pitcher,70,70
Andre Pallante,60,60,60,0,R,Pitcher,50,50
Andres Machado,60,50,0,40,R,Pitcher,50,70
Andres Munoz,70,50,0,0,R,Pitcher,60,60
Andrew Bellatti,60,50,0,60,R,Pitcher,50,50
Andrew Chafin,60,50,0,0,L,Pitcher,60,70
Andrew Heaney,60,50,0,0,L,Pitcher,60,50
Andrew Wantz,60,50,0,50,R,Pitcher,70,70
Anibal Sanchez,60,50,30,60,R,Pitcher,50,50
Anthony Banda,60,0,50,60,L,Pitcher,60,60
Anthony Bass,60,60,0,0,R,Pitcher,60,50
Antonio Senzatela,60,50,40,40,R,Pitcher,50,70
Aroldis Chapman,60,60,0,0,L,Pitcher,70,60
Art Warren,60,60,0,0,R,Pitcher,60,70
Austin Davis,60,50,0,60,L,Pitcher,70,70
Austin Gomber,60,50,60,40,L,Pitcher,70,60
Austin Pruitt,50,50,60,50,R,Pitcher,40,40
Austin Voth,60,0,70,0,R,Pitcher,60,60
Bailey Falter,60,50,40,0,L,Pitcher,70,40
Bailey Ober,60,50,60,60,R,Pitcher,80,80
Beau Brieske,60,40,0,50,R,Pitcher,60,50
Blake Snell,60,60,60,0,L,Pitcher,70,60
Brad Boxberger,60,50,0,60,R,Pitcher,40,60
Brad Hand,60,60,0,0,L,Pitcher,60,60
Brad Keller,50,60,0,0,R,Pitcher,70,80
Brady Singer,60,50,0,40,R,Pitcher,70,60
Brandon Hughes,60,50,0,0,L,Pitcher,60,60
Brandon Woodruff,60,50,40,60,R,Pitcher,70,70
Braxton Garrett,60,60,60,70,L,Pitcher,60,50
Brayan Bello,70,60,0,60,R,Pitcher,50,40
Brent Suter,50,0,0,60,L,Pitcher,70,60
Brett Martin,60,50,40,0,L,Pitcher,70,50
Brock Burke,60,50,0,60,L,Pitcher,70,60
Brooks Raley,60,60,0,60,L,Pitcher,60,50
Bruce Zimmermann,60,40,40,60,L,Pitcher,50,60
Brusdar Graterol,60,60,0,0,R,Pitcher,50,80
Bryan Abreu,60,70,60,0,R,Pitcher,50,60
Bryan Baker,60,0,0,60,R,Pitcher,70,70
Bryan Shaw,60,60,60,0,R,Pitcher,50,60
Bryce Elder,60,50,0,60,R,Pitcher,60,60
Bryse Wilson,60,50,60,60,R,Pitcher,50,70
Buck Farmer,60,50,0,60,R,Pitcher,70,70
Cal Quantrill,50,0,0,60,R,Pitcher,60,50
Caleb Ferguson,60,0,70,0,L,Pitcher,60,60
Caleb Smith,60,40,0,40,L,Pitcher,50,50
Caleb Thielbar,60,50,60,0,L,Pitcher,50,50
Camilo Doval,60,60,0,0,R,Pitcher,60,40
Carlos Carrasco,60,50,0,50,R,Pitcher,70,60
Carlos Estevez,60,60,0,40,R,Pitcher,70,80
Carlos Hernandez,60,50,40,0,R,Pitcher,70,70
Carlos Rodon,60,60,60,0,L,Pitcher,60,70
Chad Kuhl,50,50,60,50,R,Pitcher,60,50
Charlie Morton,70,0,60,70,R,Pitcher,70,60
Chase Silseth,60,60,0,0,R,Pitcher,50,60
Chasen Shreve,60,50,0,0,L,Pitcher,70,40
Chris Archer,60,60,40,50,R,Pitcher,60,50
Chris Bassitt,60,50,60,60,R,Pitcher,70,60
Chris Flexen,60,50,0,60,R,Pitcher,60,60
Chris Martin,60,0,0,0,R,Pitcher,80,60
Chris Stratton,50,60,60,60,R,Pitcher,60,50
Cionel Perez,60,70,0,0,L,Pitcher,40,30
Clarke Schmidt,60,60,70,0,R,Pitcher,50,50
Clay Holmes,70,70,0,0,R,Pitcher,70,70
Clayton Kershaw,50,50,40,0,L,Pitcher,70,60
Cole Irvin,60,0,40,60,L,Pitcher,70,60
Cole Ragans,60,0,60,60,L,Pitcher,70,50
Cole Sands,60,0,60,0,R,Pitcher,60,60
Cole Sulser,60,50,0,60,R,Pitcher,50,50
Colin Poche,60,0,60,0,L,Pitcher,60,60
Collin McHugh,60,60,0,0,R,Pitcher,60,50
Collin Snider,60,60,0,0,R,Pitcher,70,50
Connor Brogdon,70,0,0,60,R,Pitcher,70,50
Corbin Burnes,60,70,50,50,R,Pitcher,60,60
Corey Kluber,60,0,50,50,R,Pitcher,70,60
Corey Knebel,60,0,70,0,R,Pitcher,60,60
Cory Abbott,60,40,40,0,R,Pitcher,50,60
Craig Kimbrel,60,0,60,0,R,Pitcher,50,60
Craig Stammen,50,60,60,0,R,Pitcher,60,60
Cristian Javier,60,50,60,0,R,Pitcher,50,60
Cristopher Sanchez,60,50,0,80,L,Pitcher,50,30
Dakota Hudson,60,50,40,0,R,Pitcher,70,60
Dallas Keuchel,60,40,0,60,L,Pitcher,60,50
Dane Dunning,60,50,0,60,R,Pitcher,70,60
Daniel Bard,60,60,0,0,R,Pitcher,70,60
Daniel Castano,60,50,0,50,L,Pitcher,60,70
Daniel Lynch,60,50,0,40,L,Pitcher,70,50
Daniel Norris,60,50,0,60,L,Pitcher,60,50
Dany Jimenez,60,50,0,0,R,Pitcher,50,40
Daulton Jefferies,60,0,40,60,R,Pitcher,50,40
Dauri Moreta,60,50,0,40,R,Pitcher,60,40
David Bednar,60,0,60,0,R,Pitcher,50,70
David Peterson,60,50,0,60,L,Pitcher,70,70
David Phelps,60,0,50,60,R,Pitcher,60,50
David Price,60,0,0,60,L,Pitcher,70,60
David Robertson,60,60,60,0,R,Pitcher,40,50
Davis Martin,60,60,60,60,R,Pitcher,60,50
Dean Kremer,60,0,60,70,R,Pitcher,60,50
Dennis Santana,60,50,0,60,R,Pitcher,60,50
Devin Smeltzer,60,50,60,60,L,Pitcher,60,50
Devin Williams,70,0,0,80,R,Pitcher,60,50
Diego Castillo,70,50,0,0,R,Pitcher,40,40
Diego Castillo,70,50,0,0,R,Pitcher,60,80
Dillon Peters,60,50,60,40,L,Pitcher,40,50
Dillon Tate,60,50,0,60,R,Pitcher,60,50
Dinelson Lamet,60,50,0,0,R,Pitcher,60,60
Domingo Acevedo,60,40,0,60,R,Pitcher,80,70
Domingo German,60,0,40,60,R,Pitcher,60,40
Dominic Leone,60,60,0,0,R,Pitcher,40,60
Drew Hutchison,60,50,0,50,R,Pitcher,60,60
Drew Rasmussen,60,60,0,0,R,Pitcher,50,60
Drew Smith,60,60,60,40,R,Pitcher,60,50
Drew Smyly,50,0,30,0,L,Pitcher,60,50
Dustin May,60,0,60,60,R,Pitcher,70,40
Dylan Bundy,60,40,40,60,R,Pitcher,50,60
Dylan Cease,60,50,60,0,R,Pitcher,60,50
Dylan Coleman,60,60,0,0,R,Pitcher,70,70
Dylan Floro,60,50,0,70,R,Pitcher,60,50
Dylan Lee,60,40,0,50,L,Pitcher,60,60
Eduardo Rodriguez,60,0,0,60,L,Pitcher,60,70
Edward Cabrera,60,50,60,60,R,Pitcher,70,60
Edwin Diaz,60,60,0,0,R,Pitcher,60,30
Eli Morgan,60,40,0,60,R,Pitcher,40,50
Elieser Hernandez,60,40,0,50,R,Pitcher,50,60
Emilio Pagan,60,0,0,0,R,Pitcher,60,50
Emmanuel Clase,60,70,0,0,R,Pitcher,60,50
Erasmo Ramirez,60,0,40,0,R,Pitcher,50,60
Eric Lauer,60,50,50,0,L,Pitcher,60,60
Eric Stout,60,50,70,60,L,Pitcher,60,50
Erick Fedde,50,0,50,0,R,Pitcher,70,50
Erik Swanson,60,50,0,0,R,Pitcher,60,60
Evan Phillips,60,60,0,0,R,Pitcher,60,60
Felix Bautista,60,60,0,0,R,Pitcher,70,50
Framber Valdez,60,0,80,60,L,Pitcher,40,70
Frankie Montas,60,50,0,0,R,Pitcher,60,80
Freddy Peralta,60,40,40,60,R,Pitcher,40,50
Garrett Hill,60,50,60,50,R,Pitcher,50,40
Garrett Richards,50,60,0,60,R,Pitcher,60,60
Garrett Whitlock,60,50,0,60,R,Pitcher,70,60
Genesis Cabrera,60,0,60,50,L,Pitcher,60,40
George Kirby,60,60,60,60,R,Pitcher,70,60
German Marquez,60,50,40,0,R,Pitcher,50,70
Gerrit Cole,60,60,60,40,R,Pitcher,70,60
Giovanny Gallegos,60,50,0,40,R,Pitcher,60,60
Glenn Otto,60,60,60,60,R,Pitcher,60,70
Graham Ashcraft,60,70,0,0,R,Pitcher,60,70
Gregory Soto,60,50,0,0,L,Pitcher,50,70
