Name,Top100,Pos,Class,Org,Age,H,W,B,T,Hit,Game,Raw,Spd,Fld,Arm,FB,SL,CB,CH,CMD,Bio.Class,Ht,Wt
A.J. Alexy,NA,SIRP,Pitcher,TEX,24,60,50,R,R,NA,NA,NA,NA,NA,NA,60,50,60,60,35,Pitcher,"6' 4""",195
A.J. Block,NA,SIRP,Pitcher,KCR,24,70,60,L,L,NA,NA,NA,NA,NA,NA,30,60,NA,60,45,Pitcher,"6' 5""",218
A.J. Vukovich,NA,1B,Position,ARI,21,70,60,R,R,50,60,70,20,50,55,NA,NA,NA,NA,NA,Position,"6' 5""",210
Aaron Bracho,NA,2B,Position,CLE,21,40,50,S,R,40,50,60,40,40,40,NA,NA,NA,NA,NA,Position,"5' 11""",175
Aaron Sabato,NA,1B,Position,MIN,23,60,70,R,R,50,60,60,30,50,50,NA,NA,NA,NA,NA,Position,"6' 2""",230
Aaron Zavala,NA,RF,Position,TEX,22,50,50,L,R,60,40,50,50,40,40,NA,NA,NA,NA,NA,Position,"6' 0""",193
Abdias De La Cruz,NA,SS,Position,ARI,17,60,50,R,R,50,50,60,60,50,45,NA,NA,NA,NA,NA,Position,"6' 3""",190
Abner Uribe,NA,SIRP,Pitcher,MIL,22,60,60,R,R,NA,NA,NA,NA,NA,NA,70,70,NA,NA,35,Pitcher,"6' 2""",200
Abrahan Gutierrez,NA,C,Catcher,PIT,22,60,60,R,R,60,40,40,20,NA,45,NA,NA,NA,NA,NA,Position,"6' 2""",214
Adael Amador,NA,SS,Position,COL,19,50,40,S,R,50,40,50,60,60,60,NA,NA,NA,NA,NA,Position,"6' 0""",160
Adam Kloffenstein,NA,SP,Pitcher,TOR,22,70,80,R,R,NA,NA,NA,NA,NA,NA,50,60,50,50,50,Pitcher,"6' 5""",243
Adam Macko,NA,SP,Pitcher,SEA,21,50,40,L,L,NA,NA,NA,NA,NA,NA,60,60,60,NA,45,Pitcher,"6' 0""",170
Adam Mazur,NA,SP,Pitcher,SDP,21,60,50,R,R,NA,NA,NA,NA,NA,NA,60,60,NA,50,50,Pitcher,"6' 2""",180
Adam Seminaris,NA,MIRP,Pitcher,LAA,23,50,50,L,L,NA,NA,NA,NA,NA,NA,40,NA,50,60,60,Pitcher,"6' 0""",185
Adam Shoemaker,NA,SIRP,Pitcher,ATL,19,70,60,L,L,NA,NA,NA,NA,NA,NA,60,NA,50,50,40,Pitcher,"6' 6""",205
Adrian Del Castillo,NA,C,Catcher,ARI,23,40,60,L,R,60,40,50,30,40,45,NA,NA,NA,NA,NA,Position,"5' 11""",208
Adrian Pinto,NA,CF,Position,TOR,20,30,40,R,R,60,30,40,60,50,50,NA,NA,NA,NA,NA,Position,"5' 6""",156
Adrian Placencia,NA,2B,Position,LAA,19,40,40,S,R,60,40,50,50,50,45,NA,NA,NA,NA,NA,Position,"5' 11""",155
Adrian Sugastey,NA,C,Catcher,SFG,19,50,40,R,R,50,30,50,20,40,45,NA,NA,NA,NA,NA,Position,"6' 1""",170
Aeverson Arteaga,NA,SS,Position,SFG,19,50,40,R,R,40,50,50,60,60,60,NA,NA,NA,NA,NA,Position,"6' 1""",170
Aiden McIntyre,NA,SIRP,Pitcher,OAK,27,70,70,R,R,NA,NA,NA,NA,NA,NA,70,50,NA,60,40,Pitcher,"6' 5""",220
AJ Smith-Shawver,NA,SP,Pitcher,ATL,19,60,60,R,R,NA,NA,NA,NA,NA,NA,60,60,50,60,45,Pitcher,"6' 3""",205
Alan Rangel,NA,SP,Pitcher,ATL,25,60,40,R,R,NA,NA,NA,NA,NA,NA,60,NA,50,60,40,Pitcher,"6' 2""",170
Alberto Rodriguez,NA,RF,Position,SEA,22,40,70,L,L,40,60,60,40,50,55,NA,NA,NA,NA,NA,Position,"5' 11""",227
Aldo Ramirez,NA,SP,Pitcher,WSN,21,50,50,R,R,NA,NA,NA,NA,NA,NA,50,50,NA,60,50,Pitcher,"6' 0""",191
Alec Bettinger,NA,SP,Pitcher,MIL,27,60,60,R,R,NA,NA,NA,NA,NA,NA,50,NA,60,NA,55,Pitcher,"6' 2""",210
Alec Burleson,NA,RF,Position,STL,23,60,60,L,L,60,40,50,30,50,50,NA,NA,NA,NA,NA,Position,"6' 2""",214
Alec Marsh,NA,SP,Pitcher,KCR,24,60,70,R,R,NA,NA,NA,NA,NA,NA,60,60,50,50,45,Pitcher,"6' 2""",225
Alec Willis,NA,SP,Pitcher,STL,19,70,70,R,R,NA,NA,NA,NA,NA,NA,50,NA,60,50,50,Pitcher,"6' 5""",220
Alejandro Hidalgo,NA,SP,Pitcher,LAA,19,50,40,R,R,NA,NA,NA,NA,NA,NA,50,NA,60,50,45,Pitcher,"6' 1""",160
Alejandro Pie,NA,3B,Position,TBR,20,70,50,R,R,30,60,60,60,50,60,NA,NA,NA,NA,NA,Position,"6' 5""",180
Alerick Soularie,NA,2B,Position,MIN,23,40,50,R,R,50,50,60,60,60,45,NA,NA,NA,NA,NA,Position,"5' 11""",185
Alex Binelas,NA,3B,Position,BOS,22,60,70,L,R,60,50,50,30,50,40,NA,NA,NA,NA,NA,Position,"6' 3""",225
Alex De Jesus,NA,3B,Position,TOR,20,60,60,R,R,40,60,60,30,50,60,NA,NA,NA,NA,NA,Position,"6' 2""",200
Alex McFarlane,NA,SIRP,Pitcher,PHI,21,60,60,R,R,NA,NA,NA,NA,NA,NA,50,60,NA,NA,40,Pitcher,"6' 4""",215
Alex Ramirez,80,CF,Position,NYM,19,60,50,R,R,50,60,60,60,50,55,NA,NA,NA,NA,NA,Position,"6' 3""",175
Alex Santos II,NA,SP,Pitcher,HOU,20,60,50,R,R,NA,NA,NA,NA,NA,NA,60,50,60,NA,50,Pitcher,"6' 4""",194
Alexander Alberto,NA,SP,Pitcher,TBR,20,80,50,R,R,NA,NA,NA,NA,NA,NA,50,60,NA,NA,40,Pitcher,"6' 8""",190
Alexander Canario,NA,RF,Position,CHC,22,50,40,R,R,40,60,60,50,50,70,NA,NA,NA,NA,NA,Position,"6' 1""",165
Alexander Ramirez,NA,RF,Position,LAA,20,60,60,R,R,40,60,70,50,50,60,NA,NA,NA,NA,NA,Position,"6' 2""",215
Alexander Vargas,NA,SS,Position,NYY,20,50,40,S,R,60,50,50,60,60,60,NA,NA,NA,NA,NA,Position,"6' 0""",155
Alexander Vizcaino,NA,SIRP,Pitcher,CHC,25,60,50,R,R,NA,NA,NA,NA,NA,NA,60,50,NA,60,35,Pitcher,"6' 2""",175
Alexfri Planez,NA,RF,Position,CLE,21,60,50,R,R,40,60,60,50,50,60,NA,NA,NA,NA,NA,Position,"6' 2""",180
Alexis Hernandez,NA,SS,Position,CHC,17,60,50,R,R,50,40,50,60,50,45,NA,NA,NA,NA,NA,Position,"6' 2""",175
Ali Sanchez,NA,C,Catcher,DET,25,50,60,R,R,40,30,40,30,60,55,NA,NA,NA,NA,NA,Position,"6' 0""",200
Alika Williams,NA,SS,Position,TBR,23,60,50,R,R,60,30,40,60,60,55,NA,NA,NA,NA,NA,Position,"6' 2""",180
Allan Cerda,NA,RF,Position,CIN,22,70,70,R,R,40,60,70,50,50,60,NA,NA,NA,NA,NA,Position,"6' 5""",220
Alvin Guzman,NA,CF,Position,ARI,20,50,40,R,R,40,60,60,60,60,70,NA,NA,NA,NA,NA,Position,"6' 1""",166
Ambioris Tavarez,NA,3B,Position,ATL,18,50,40,R,R,50,60,60,40,50,50,NA,NA,NA,NA,NA,Position,"6' 0""",168
Anderson Espinoza,NA,SP,Pitcher,CHC,24,50,50,R,R,NA,NA,NA,NA,NA,NA,60,NA,60,60,45,Pitcher,"6' 0""",190
Anderson Paulino,NA,SIRP,Pitcher,KCR,24,60,60,R,R,NA,NA,NA,NA,NA,NA,60,60,NA,NA,40,Pitcher,"6' 2""",200
Andre Jackson,NA,SP,Pitcher,LAD,26,60,60,R,R,NA,NA,NA,NA,NA,NA,50,NA,50,60,55,Pitcher,"6' 3""",210
Andre Lipcius,NA,3B,Position,DET,24,50,50,R,R,60,40,50,50,60,55,NA,NA,NA,NA,NA,Position,"6' 1""",190
Andrew Abbott,NA,SP,Pitcher,CIN,23,40,50,L,L,NA,NA,NA,NA,NA,NA,60,NA,60,50,45,Pitcher,"5' 11""",175
Andrew Baker,NA,SIRP,Pitcher,PHI,22,60,50,R,R,NA,NA,NA,NA,NA,NA,60,NA,60,NA,35,Pitcher,"6' 3""",190
