Top100,Name,Pos,Org,Age,H,W,B,T,Hit,Pitch Sel,Bat Ctrl,Game,Raw,Spd,Fld,FB Type,FB,SL,CB,CH,CMD,RPM FB,RPM Break,Sits,Tops,FV,playerId
1,Francisco Alvarez,C,NYM,20.7138888,"5' 10""",233,R,R,40 / 40,55,40,50 / 60,70 / 70,40 / 30,40 / 45,,,,,,,,,,,60,sa3010862
2,Gunnar Henderson,3B,BAL,21.1027777,"6' 2""",210,L,R,35 / 50,45,50,40 / 55,50 / 55,50 / 40,45 / 60,,,,,,,,,,,60,sa3011484
3,Corbin Carroll,CF,ARI,21.9583333,"5' 10""",165,L,L,55 / 70,60,60,30 / 50,45 / 50,70 / 70,50 / 60,,,,,,,,,,,60,sa3010593
4,Grayson Rodriguez,SP,BAL,22.7222222,"6' 5""",220,L,R,,,,,,,,Tail,70 / 70,70 / 70,60 / 60,70 / 80,40 / 50,2450,2650,96-98,100,60,sa3008130
5,Anthony Volpe,2B,NYY,21.2722222,"5' 11""",180,R,R,35 / 60,55,60,35 / 60,55 / 55,50 / 50,40 / 45,,,,,,,,,,,55,sa3010868
6,Jordan Walker,3B,STL,20.2055555,"6' 5""",220,R,R,40 / 50,45,45,50 / 80,70 / 80,50 / 40,50 / 55,,,,,,,,,,,60,sa3014464
7,Gabriel Moreno,C,TOR,22.4777777,"5' 11""",210,R,R,55 / 60,40,70,40 / 45,50 / 50,50 / 50,45 / 50,,,,,,,,,,,60,22664
8,Marcelo Mayer,SS,BOS,19.65,"6' 3""",188,L,R,25 / 60,50,55,20 / 55,45 / 55,40 / 40,40 / 50,,,,,,,,,,,55,sa3017114
9,Diego Cartaya,C,LAD,20.9138888,"6' 3""",219,R,R,30 / 45,40,50,35 / 60,50 / 60,40 / 30,40 / 50,,,,,,,,,,,50,sa3008742
10,Eury Perez,SP,MIA,19.3083333,"6' 9""",220,R,R,,,,,,,,Tail,55 / 70,50 / 60,45 / 50,45 / 60,50 / 70,,,96-98,99,60,sa3014807
11,Jackson Chourio,CF,MIL,18.4027777,"6' 1""",165,R,R,20 / 60,,,20 / 45,40 / 50,60 / 60,40 / 60,,,,,,,,,,,50,sa3015704
12,Druw Jones,CF,ARI,18.6888888,"6' 4""",185,R,R,20 / 55,50,45,20 / 70,60 / 70,60 / 60,45 / 60,,,,,,,,,,,60,
13,Jordan Lawlar,SS,ARI,20.0527777,"6' 2""",190,R,R,30 / 55,50,60,20 / 50,45 / 50,60 / 60,45 / 60,,,,,,,,,,,50,sa3017662
14,Jackson Holliday,SS,BAL,18.6722222,"6' 1""",180,L,R,25 / 60,50,55,25 / 60,50 / 60,50 / 50,40 / 50,,,,,,,,,,,55,
15,Elly De La Cruz,SS,CIN,20.5694444,"6' 5""",195,S,R,30 / 40,20,40,35 / 60,60 / 80,70 / 70,30 / 45,,,,,,,,,,,50,sa3009289
16,Daniel Espino,SP,CLE,21.5861111,"6' 2""",215,R,R,,,,,,,,Rise,70 / 80,60 / 70,55 / 60,45 / 55,45 / 50,2500,2650,97-100,102,60,sa3011495
17,Marco Luciano,SS,SFG,20.825,"6' 2""",208,R,R,30 / 55,55,50,30 / 60,60 / 70,50 / 45,30 / 40,,,,,,,,,,,55,sa3010022
18,Noelvi Marte,SS,CIN,20.8055555,"6' 1""",195,R,R,30 / 45,50,50,35 / 60,55 / 70,60 / 55,40 / 50,,,,,,,,,,,60,sa3008745
19,Brett Baty,3B,NYM,22.7305555,"6' 3""",225,L,R,40 / 50,55,50,45 / 60,70 / 70,45 / 40,45 / 50,,,,,,,,,,,55,26123
20,Henry Davis,C,PIT,22.875,"6' 2""",225,R,R,35 / 50,45,45,35 / 70,70 / 70,40 / 40,20 / 40,,,,,,,,,,,55,sa3017042
21,Taj Bradley,SP,TBR,21.3777777,"6' 0""",180,R,R,,,,,,,,Cut/Rise,60 / 65,40 / 45,,30 / 45,30 / 45,2300,2300,93-97,99,45+,sa3007839
22,Kyle Harrison,SP,SFG,20.9833333,"6' 2""",215,R,L,,,,,,,,Rise/Run,55 / 60,60 / 60,,45 / 60,35 / 55,2350,2250,93-95,98,50,sa3014513
23,Robert Hassell III,RF,WSN,20.975,"6' 2""",195,L,L,35 / 55,50,55,30 / 50,45 / 50,55 / 55,40 / 50,,,,,,,,,,,50,sa3014701
24,Zac Veen,RF,COL,20.65,"6' 4""",190,L,R,30 / 45,55,40,35 / 60,55 / 70,60 / 55,30 / 55,,,,,,,,,,,50,sa3014516
25,Andrew Painter,SP,PHI,19.3222222,"6' 6""",210,R,R,,,,,,,,Sink,50 / 60,50 / 55,45 / 50,30 / 45,25 / 50,,,93-96,100,45+,sa3017880
26,Triston Casas,1B,BOS,22.5583333,"6' 4""",252,L,R,50 / 55,70,55,50 / 60,60 / 60,30 / 20,40 / 45,,,,,,,,,,,55,sa3007634
27,Bobby Miller,SP,LAD,23.3361111,"6' 5""",220,L,R,,,,,,,,Sink,65 / 70,60 / 60,,45 / 55,40 / 45,2450,2650,97-100,102,50,sa3014422
28,Ezequiel Tovar,SS,COL,21.0138888,"6' 0""",162,R,R,35 / 60,40,60,30 / 35,30 / 40,45 / 45,45 / 60,,,,,,,,,,,50,sa3008239
29,Elijah Green,CF,WSN,18.6722222,"6' 1""",185,R,R,20 / 40,45,30,25 / 60,70 / 80,70 / 70,30 / 50,,,,,,,,,,,45+,
30,Termarr Johnson,2B,PIT,18.1527777,"5' 8""",175,L,R,25 / 60,40,60,25 / 55,55 / 60,50 / 40,30 / 45,,,,,,,,,,,55,
31,Pete Crow-Armstrong,CF,CHC,20.3638888,"6' 1""",180,L,L,35 / 40,,40,30 / 45,45 / 50,60 / 60,45 / 70,,,,,,,,,,,50,sa3014458
32,George Valera,RF,CLE,21.7305555,"6' 0""",190,L,L,30 / 40,60,40,45 / 60,55 / 60,50 / 50,50 / 55,,,,,,,,,,,50,sa3006872
33,Brooks Lee,SS,MIN,21.4777777,"6' 2""",205,S,R,35 / 60,60,55,35 / 50,55 / 55,35 / 40,45 / 50,,,,,,,,,,,55,
34,Ricky Tiedemann,SP,TOR,19.9666666,"6' 4""",200,L,L,,,,,,,,Tail,45 / 50,50 / 55,,50 / 55,20 / 55,,,88-92,94,45+,sa3018096
35,James Wood,CF,WSN,19.8861111,"6' 7""",240,L,L,20 / 50,45,45,20 / 60,60 / 70,60 / 50,30 / 55,,,,,,,,,,,50,sa3016870
36,Shea Langeliers,C,OAK,24.7166666,"6' 0""",205,R,R,40 / 50,50,50,40 / 50,55 / 55,35 / 30,50 / 55,,,,,,,,,,,50,25816
37,Brayan Bello,SP,BOS,23.2194444,"6' 1""",190,R,R,,,,,,,,Tail,55 / 60,55 / 60,,55 / 60,30 / 40,2250,2400,92-95,98,50,23920
38,Curtis Mead,LF,TBR,21.7777777,"6' 2""",180,R,R,35 / 60,30,60,30 / 50,50 / 55,45 / 40,20 / 40,,,,,,,,,,,50,sa3008392
39,Josh Jung,3B,TEX,24.4833333,"6' 2""",215,R,R,45 / 55,50,45,50 / 60,60 / 60,40 / 40,55 / 60,,,,,,,,,,,60,sa3011468
40,Kevin Parada,LF,NYM,21.0083333,"6' 1""",197,R,R,35 / 55,50,60,35 / 60,60 / 60,45 / 40,30 / 40,,,,,,,,,,,50,
41,Jackson Jobe,SP,DET,20.0166666,"6' 2""",190,R,R,,,,,,,,Rise/Tail,50 / 60,60 / 70,50 / 50,50 / 60,25 / 55,,,93-95,98,50,sa3018054
43,Colton Cowser,CF,BAL,22.3777777,"6' 3""",195,L,R,35 / 70,50,60,30 / 45,40 / 45,55 / 55,45 / 55,,,,,,,,,,,50,sa3017018
44,Miguel Vargas,3B,LAD,22.7194444,"6' 3""",200,R,R,50 / 60,55,60,35 / 45,45 / 50,40 / 40,35 / 40,,,,,,,,,,,45,20178
45,Michael Busch,2B,LAD,24.7416666,"6' 0""",207,L,R,50 / 55,60,50,45 / 55,60 / 60,50 / 45,30 / 35,,,,,,,,,,,50,sa3011540
46,Max Meyer,SP,MIA,23.4,"6' 0""",196,R,R,,,,,,,,Sink/Tail,55 / 60,60 / 70,,45 / 55,40 / 50,2600,2600,94-98,101,45+,27474
47,Quinn Priester,SP,PIT,21.8916666,"6' 3""",210,R,R,,,,,,,,Rise,50 / 50,,70 / 70,30 / 35,30 / 45,2150,2500,92-95,99,50,sa3011297
48,Jack Leiter,SP,TEX,22.2916666,"6' 1""",205,R,R,,,,,,,,Rise,60 / 60,50 / 55,55 / 55,40 / 55,40 / 50,2100,2250,93-97,99,55,sa3018053
49,Sal Frelick,CF,MIL,22.2972222,"5' 10""",195,L,R,35 / 60,60,60,30 / 45,40 / 45,60 / 60,45 / 60,,,,,,,,,,,45+,sa3017047
50,Tyler Soderstrom,1B,OAK,20.7,"6' 2""",205,L,R,35 / 60,60,60,30 / 55,50 / 60,40 / 30,20 / 40,,,,,,,,,,,50,sa3014489
51,Brennen Davis,RF,CHC,22.7611111,"6' 4""",210,R,R,30 / 40,45,40,45 / 60,55 / 60,60 / 55,45 / 55,,,,,,,,,,,55,sa3007876
52,Jacob Berry,DH,MIA,21.2527777,"6' 0""",212,S,R,35 / 60,60,55,35 / 55,60 / 60,50 / 45,20 / 30,,,,,,,,,,,50,
53,Oswald Peraza,SS,NYY,22.1416666,"6' 0""",176,R,R,50 / 55,40,60,40 / 50,50 / 50,60 / 60,55 / 60,,,,,,,,,,,50,sa3003305
54,Masyn Winn,SS,STL,20.375,"5' 10""",180,R,R,35 / 55,45,50,30 / 50,45 / 55,60 / 60,40 / 50,,,,,,,,,,,50,sa3014506
55,Edwin Arroyo,SS,CIN,18.9472222,"6' 0""",175,R,R,20 / 40,45,50,25 / 50,45 / 50,50 / 50,40 / 50,,,,,,,,,,,40+,sa3017626
56,Gavin Williams,SP,CLE,23.0277777,"6' 6""",238,L,R,,,,,,,,Sink,65 / 70,50 / 55,50 / 55,,30 / 50,,,95-98,101,45+,sa3018106
57,Mick Abel,SP,PHI,20.9666666,"6' 6""",190,R,R,,,,,,,,Rise/Tail,55 / 65,,55 / 70,45 / 55,35 / 55,2500,2250,93-96,99,55,sa3014534
58,Cade Cavalli,SP,WSN,23.9777777,"6' 4""",240,R,R,,,,,,,,Rise/Tail,70 / 70,55 / 60,55 / 60,55 / 60,30 / 45,2400,2200,94-98,102,55,sa3014421
59,Evan Carter,CF,TEX,19.9361111,"6' 4""",190,L,R,25 / 60,70,55,20 / 40,40 / 45,60 / 60,45 / 55,,,,,,,,,,,45+,sa3014490
60,Colson Montgomery,3B,CHW,20.4416666,"6' 4""",190,L,R,30 / 45,45,40,30 / 60,50 / 65,50 / 40,30 / 55,,,,,,,,,,,50,sa3017170
61,Royce Lewis,SS,MIN,23.1694444,"6' 2""",215,R,R,30 / 40,40,50,40 / 60,60 / 70,60 / 50,40 / 45,,,,,,,,,,,50,20437
62,Owen White,SP,TEX,22.9916666,"6' 3""",199,R,R,,,,,,,,Sink,50 / 55,55 / 60,50 / 50,45 / 55,50 / 60,2450,,92-95,96,50,sa3014481
63,Cam Collier,3B,CIN,17.7111111,"6' 1""",215,L,R,20 / 50,50,45,20 / 55,55 / 60,40 / 40,45 / 60,,,,,,,,,,,45+,
64,Adael Amador,SS,COL,19.3194444,"6' 0""",160,S,R,20 / 50,50,50,20 / 35,40 / 45,60 / 60,45 / 55,,,,,,,,,,,45,sa3014682
65,Liover Peguero,SS,PIT,21.6,"6' 1""",200,R,R,35 / 60,50,55,35 / 45,45 / 50,60 / 55,45 / 55,,,,,,,,,,,50,24273
66,Drew Romo,C,COL,20.9361111,"6' 1""",205,S,R,30 / 50,35,50,30 / 45,55 / 60,30 / 30,45 / 60,,,,,,,,,,,50,sa3014522
67,Logan O'Hoppe,C,LAA,22.4916666,"6' 2""",185,R,R,40 / 55,45,55,30 / 45,50 / 55,30 / 30,40 / 50,,,,,,,,,,,50,sa3007519
68,Harry Ford,C,SEA,19.4583333,"5' 10""",200,R,R,25 / 50,45,50,25 / 55,55 / 60,60 / 60,30 / 50,,,,,,,,,,,45+,sa3017627
69,Andy Pages,CF,LAD,21.6611111,"6' 1""",215,R,R,30 / 40,55,45,35 / 70,60 / 70,50 / 50,45 / 50,,,,,,,,,,,50,sa3005625
70,Ken Waldichuk,SP,OAK,24.5777777,"6' 4""",220,L,L,,,,,,,,Cut/Rise,60 / 65,50 / 50,45 / 45,60 / 70,45 / 50,2250,2250,90-94,95,50,sa1115814
71,Hunter Brown,SIRP,HOU,23.9361111,"6' 2""",212,R,R,,,,,,,,Cut/Rise,60 / 60,55 / 60,60 / 70,40 / 45,30 / 40,2250,2600,94-96,100,50,sa3010571
72,Brayan Rocchio,SS,CLE,21.5638888,"5' 10""",175,S,R,50 / 60,45,60,30 / 40,40 / 45,60 / 60,60 / 60,,,,,,,,,,,50,sa3005898
73,Orelvis Martinez,3B,TOR,20.7138888,"6' 1""",195,R,R,30 / 45,50,50,35 / 60,50 / 60,45 / 40,30 / 45,,,,,,,,,,,50,sa3010692
74,Jace Jung,2B,DET,21.8388888,"6' 0""",200,L,L,35 / 55,60,55,35 / 55,55 / 55,35 / 35,30 / 40,,,,,,,,,,,45,
75,Gavin Cross,CF,KCR,21.4805555,"6' 3""",210,L,L,35 / 55,45,60,30 / 50,55 / 55,55 / 50,30 / 45,,,,,,,,,,,45,
76,Matt McLain,SS,CIN,23,"5' 10""",175,R,R,35 / 60,50,60,30 / 40,45 / 45,60 / 60,45 / 50,,,,,,,,,,,45,sa3017154
77,Ryan Pepiot,SP,LAD,24.9583333,"6' 3""",215,R,R,,,,,,,,Rise,55 / 60,40 / 45,,70 / 70,40 / 45,2450,2800,92-95,97,45+,26221
